date,open,close,high,low,volume,amount
2016/1/4,10,9.04,10,9.04,323405,302240000
2016/1/5,8.16,8.9,9.22,8.16,471803,414963008
2016/1/6,8.92,9.18,9.18,8.92,287099,261120992
2016/1/7,9.04,8.27,9.04,8.26,86056,74441000
2016/1/8,8.61,8.3,8.7,7.44,323674,268537984
2016/1/11,8.16,7.47,8.25,7.47,282638,221347008
2016/1/12,7.47,7.5,7.66,7.18,219159,163112992
2016/1/13,7.6,7.11,7.65,7.03,185659,137518000
2016/1/14,6.9,7.4,7.45,6.79,243664,173531008
2016/1/15,7.24,7.14,7.56,7,225645,163874000
2016/1/18,7.01,7.27,7.4,6.8,206484,149212000
2016/1/19,7.2,8,8,7.18,330704,249132992
2016/1/20,7.98,7.98,8.24,7.86,456495,368192000
2016/1/21,7.77,7.41,8.02,7.39,270711,209595008
2016/1/22,7.55,7.55,7.69,7.28,202110,152183008
2016/1/25,7.65,7.59,7.72,7.51,149601,114252000
2016/1/26,7.49,6.83,7.51,6.83,234548,167900000
2016/1/27,6.86,6.69,6.96,6.18,264943,172994000
2016/1/28,6.57,6.33,6.66,6.2,172999,112924000
2016/1/29,6.29,6.96,6.96,6.21,182428,123249000
2016/2/1,7.28,6.92,7.48,6.65,400925,286400992
2016/2/2,6.98,7.13,7.25,6.83,292145,207110000
2016/2/3,7.03,7.25,7.4,6.93,333258,240750000
2016/2/4,7.23,7.32,7.45,7.16,320630,234423008
2016/2/5,7.29,7.1,7.37,7.09,184762,133185000
2016/2/15,6.81,7,7.1,6.65,147999,102674000
2016/2/16,7.14,7.7,7.7,7.14,316175,236232000
2016/2/17,7.69,7.78,7.98,7.54,462348,357476992
2016/2/18,7.78,7.76,8.15,7.65,465915,365600992
2016/2/19,7.67,7.92,8.11,7.65,403847,318409984
2016/2/22,8.13,8.11,8.35,7.93,434661,352340000
2016/2/23,8.04,7.92,8.06,7.8,314400,249072992
2016/2/24,7.82,7.97,8.04,7.8,270550,214395008
2016/2/25,8.18,8.26,8.77,8.05,1375065,1177012992
2016/2/26,8.3,7.7,8.45,7.48,863847,677822016
2016/2/29,7.53,6.93,7.53,6.93,513784,362889984
2016/3/1,7.05,7.18,7.24,6.93,383986,273608992
2016/3/2,7.18,7.66,7.89,7.13,519168,390332992
2016/3/3,7.61,7.78,8.3,7.61,684296,543937984
2016/3/4,7.89,7.58,8.15,7.4,670923,526532000
2016/3/7,7.84,7.7,7.96,7.51,382724,295121984
2016/3/8,7.63,7.57,7.68,7.15,375654,277048992
2016/3/9,7.38,7.39,7.54,7.2,245093,180890000
2016/3/10,7.44,7.27,7.49,7.26,201137,148144992
2016/3/11,7.19,7.19,7.33,7.09,195787,140972992
2016/3/14,7.4,7.44,7.57,7.33,284035,212296000
2016/3/15,7.44,7.46,7.64,7.36,288085,215424000
2016/3/16,7.48,7.31,7.59,7.22,232562,171876992
2016/3/17,7.35,7.5,7.57,7.31,313526,234218000
2016/3/18,7.54,7.75,7.82,7.53,450571,347752992
2016/3/21,7.9,8.05,8.2,7.73,605789,480497984
2016/3/22,7.96,7.88,8.04,7.84,414301,328200000
2016/3/23,7.81,7.94,7.99,7.8,379151,299727008
2016/3/24,7.88,7.74,8.03,7.69,372527,292120000
2016/3/25,7.7,7.75,7.92,7.67,202546,157172992
2016/3/28,7.79,7.68,7.89,7.67,214425,167092992
2016/3/29,7.62,7.48,7.7,7.32,227432,170576992
2016/3/30,7.52,7.72,7.78,7.5,209173,159278000
2016/3/31,7.75,7.67,7.78,7.65,231987,178931008
