date,open,high,low,close,volume,amount
2016/1/4,45.9,46.6,41.31,41.31,22832,97674000
2016/1/5,37.5,40.89,37.18,38.68,38835,150534000
2016/1/6,38.6,40,38,39.18,21146,82579000
2016/1/7,38.5,38.5,35.26,35.26,4568,16516000
2016/1/8,35.13,36.5,31.73,35.48,30773,107197000
2016/1/11,34.3,35.75,31.93,31.93,24690,81753000
2016/1/12,31.77,32.57,29.6,31.56,27668,86336000
2016/1/13,32,32.5,30.05,30.06,21417,67653000
2016/1/14,28.96,31.32,28.08,31.26,25882,77411000
2016/1/15,30.9,31.5,29,29.45,21207,64708000
2016/1/18,29,31.48,28.37,30.75,30734,94026000
2016/1/19,30.99,32.98,30.46,32.68,32168,102799000
2016/1/20,32.68,33.94,32.01,32.73,28321,93454000
2016/1/21,31.43,33.47,31,31.14,26294,85252000
2016/1/22,31.8,32.38,30,30.85,25710,79741000
2016/1/25,31.3,32.21,31.15,31.74,17981,57032000
2016/1/26,31.37,31.95,28.57,28.57,23644,71641000
2016/1/27,28.48,28.99,25.8,27.7,40986,110164000
2016/1/28,26.8,27.75,25.88,26.11,26892,72934000
2016/1/29,26.12,28.2,26.11,28,20234,55105000
2016/2/1,27.8,28.8,27.12,27.88,14891,41843000
2016/2/2,27.98,29.46,27.98,29.3,14312,41622000
2016/2/3,28.94,30.3,28.67,30.03,16299,48478000
2016/2/4,30.14,32.3,30.14,31.58,17674,55680000
2016/2/5,31.8,32.17,31,31.36,13200,41555000
2016/2/15,29.9,30.99,29.79,30.53,15227,46176000
2016/2/16,30.9,32.1,30.5,32.1,15544,49159000
2016/2/17,32.1,32.87,31.6,32.31,18176,58639000
2016/2/18,32.34,32.98,31.9,31.93,18040,58462000
2016/2/19,31.78,32.51,31.22,32.25,14407,45988000
2016/2/22,32.7,32.96,32,32.25,22475,72772000
2016/2/23,32.25,32.65,31.4,31.87,16963,54495000
2016/2/24,31.4,32.15,30.12,31.56,19552,61058000
2016/2/25,31.3,31.74,28.4,28.42,25020,74144000
2016/2/26,28.56,29.49,27.64,28.69,18698,53422000
2016/2/29,28.4,28.4,26.2,27.16,19758,53298000
2016/3/1,27.6,28.19,26.85,28.1,13083,35935000
2016/3/2,28.3,29.68,27.51,29.45,18002,51913000
2016/3/3,29.5,30.8,29.31,29.86,19061,57431000
2016/3/4,29.75,30.25,28,28.52,17240,49985000
2016/3/7,28.88,29.75,28.88,29.22,14483,42535000
2016/3/8,29.2,29.48,28.02,29.25,14488,41369000
2016/3/9,28.39,28.99,28.11,28.83,10693,30684000
2016/3/10,28.95,29.2,28.5,28.54,8369,24095000
2016/3/11,28.19,29.39,28.02,28.95,9773,28037000
2016/3/14,29.58,30.55,29.04,30.07,31412,93975000
2016/3/15,29.78,30.16,29.33,29.4,18253,54381000
2016/3/16,30.68,32.34,30.37,30.8,61240,193344000
2016/3/17,30.4,32,30.33,31.65,40794,128125000
2016/3/18,31.5,32.71,31.3,32.51,47223,151456000
2016/3/21,32.6,33.98,32.6,33.98,33241,111252000
2016/3/22,33.7,33.98,33.01,33.48,20740,69581000
2016/3/23,33.35,36.83,33.1,36.83,56417,201683008
